경찰서명,위도,경도,구별
서울중부경찰서,37.56361709999999,126.9896517,중구
서울종로경찰서,37.571824,126.9841533,종로구
서울남대문경찰서,37.5547584,126.9734981,중구
서울서대문경찰서,37.5777796,126.9390623,서대문구
서울혜화경찰서,37.5719679,126.9989574,종로구
서울용산경찰서,37.5387099,126.9659183,용산구
서울성북경찰서,37.5898228,127.0163427,성북구
서울동대문경찰서,37.58506149999999,127.0457679,동대문구
서울마포경찰서,37.550814,126.954028,마포구
서울영등포경찰서,37.5260441,126.9008091,영등포구
서울성동경찰서,37.56169149999999,127.0363006,성동구
서울동작경찰서,37.5130866,126.9428498,동작구
서울광진경찰서,37.5428231,127.0838395,광진구
서울서부경찰서,37.6020914,126.9213528,은평구
서울강북경찰서,37.63719740000001,127.0273048,강북구
서울금천경찰서,37.4568129,126.8968061,금천구
서울중랑경찰서,37.6056429,127.0764866,중랑구
서울강남경찰서,37.5094352,127.0669578,강남구
서울관악경찰서,37.4743945,126.9513489,관악구
서울강서경찰서,37.5513622,126.8502799,강서구
서울강동경찰서,37.528511,127.1268224,강동구
서울종암경찰서,37.603989,127.039937,성북구
서울구로경찰서,37.5074418,126.8902237,구로구
서울서초경찰서,37.4954676,127.0053395,서초구
서울양천경찰서,37.5167711,126.8656996,양천구
서울송파경찰서,37.5019044,127.1271338,송파구
서울노원경찰서,37.6421389,127.0710473,노원구
서울방배경찰서,37.4945959,126.9831279,서초구
서울은평경찰서,37.6280204,126.9287899,은평구
서울도봉경찰서,37.6533589,127.052682,도봉구
서울수서경찰서,37.49349,127.0772119,강남구
